Source,company,Headline,Date
The Economic Times,AAPL,France's antitrust regulator fines Apple for abusing dominant position in mobile apps distribution,"31 Mar, 2025, 02.38 PM IST"
The Economic Times,AAPL,What’s on Foxconn’s plate this year? Up to 30 million Apples,"31 Mar, 2025, 07.54 AM IST"
The Economic Times,AAPL,How can you ensure privacy on Apple devices? Here are 10 ways,"28 Jan, 2025, 03.47 PM IST"
The Economic Times,AAPL,'Something is rotten': Apple's AI strategy faces doubts,"30 Mar, 2025, 04.17 PM IST"
The Economic Times,AAPL,"A $2,300 Apple iPhone? Donald Trump's tariffs could make that happen","04 Apr, 2025, 04.45 PM IST"
The Economic Times,AAPL,Air India integrates Apple AirTag with baggage tracking system,"04 Apr, 2025, 08.00 AM IST"
The Economic Times,AAPL,"'Fantastic, Pain': People on Wall Street react to Trump's tariffs","04 Apr, 2025, 12.51 AM IST"
The Economic Times,AAPL,"Wall Street in chaos: Nasdaq sinks, Dow dives 1,111 pts, Apple loses $250B on Trump Tariff shock","03 Apr, 2025, 11.17 PM IST"
The Economic Times,AAPL,Trump's tariff shockwaves; Scapia's fundraise,"03 Apr, 2025, 07.56 PM IST"
The Economic Times,AAPL,How Trump’s tariffs will impact the tech sector,"03 Apr, 2025, 07.09 PM IST"
The Economic Times,AAPL,"US tech, retail stocks lead rout after tariff shock","03 Apr, 2025, 04.11 PM IST"
The Economic Times,AAPL,Apple developer conference: All you need to know,"26 Mar, 2025, 03.57 PM IST"
The Economic Times,AAPL,Apple plans AI-powered Watch with built-in camera; targets wearables market,"24 Mar, 2025, 06.18 PM IST"
The Economic Times,AAPL,Prime Video launches Apple TV+ as add-on service in India,"02 Apr, 2025, 12.27 PM IST"
The Economic Times,AAPL,Apple Arcade kicks off 2025 with 10 exciting new games: Here's what you need to know,"14 Jan, 2025, 11.11 PM IST"
The Economic Times,AAPL,Foxconn adds machinery worth Rs 276 crore in India for manufacturing Apple devices,"01 Apr, 2025, 05.40 PM IST"
The Economic Times,AAPL,"Apple CEO Tim Cook goes for mega multi-million dollars push in China amidst Trump tariffs, geopolitical tensions","24 Mar, 2025, 12.45 PM IST"
The Economic Times,AAPL,Apple hit with $162 million French antitrust fine over privacy tool,"31 Mar, 2025, 04.32 PM IST"
The Economic Times,AAPL,Valentine’s Day gifting guide for tech enthusiasts: From smartphones to tablets,"06 Feb, 2025, 11.19 PM IST"
The Economic Times,AAPL,Apple ordered by EU antitrust regulators to open up to rivals,"19 Mar, 2025, 08.10 PM IST"
The Economic Times,AAPL,Apple deepens presence in India; in talks with Wipro Enterprises and LMW to onboard as suppliers,"19 Mar, 2025, 11.25 AM IST"
The Economic Times,AAPL,Apple shares drop 7% in Frankfurt after Trump tariffs on China,"03 Apr, 2025, 12.37 PM IST"
The Economic Times,AAPL,"Bharat FIH rejigs board, eyes spot in Apple supply chain","03 Apr, 2025, 06.00 AM IST"
The Economic Times,AAPL,"Apple to export made-in-India AirPods to US, Europe from April","17 Mar, 2025, 08.56 AM IST"
The Economic Times,AAPL,"Turkish competition board opens probe into Apple, other companies","27 Mar, 2025, 05.08 PM IST"
The Economic Times,AAPL,iPhone 16e vs iPhone 16: Which Apple smartphone should you buy in 2025? Features and pricing comparison,"19 Feb, 2025, 11.56 PM IST"
The Economic Times,AAPL,Apple to hold Worldwide Developers Conference from June 9,"26 Mar, 2025, 12.04 PM IST"
The Economic Times,AAPL,This famous pro-Donald Trump CEO who went gaga over the president now goes viral for meltdown as new trade war hits home harder than expected,"08 Apr, 2025, 06.29 PM IST"
The Economic Times,AAPL,Dream11’s homecoming; Apple’s bigger India bite,"31 Mar, 2025, 07.31 AM IST"
The Economic Times,AAPL,"Apple is now part of the top 5 smartphone brands in India, with record market share","16 Jan, 2025, 03.04 PM IST"
The Economic Times,AAPL,Apple boss hails 'next generation of developers' on China visit,"26 Mar, 2025, 04.25 PM IST"
The Economic Times,AAPL,"Apple is hiring for hundreds of roles in India: Check jobs, eligibility, locations and more about iPhone makers recruitment plan","11 Mar, 2025, 10.36 AM IST"
The Economic Times,AAPL,Manufacturers in India not overly concerned with US tariffs: IT secretary S Krishnan,"07 Apr, 2025, 06.56 PM IST"
The Economic Times,AAPL,"Apple loses German antitrust appeal, opening door for greater controls","18 Mar, 2025, 05.45 PM IST"
The Economic Times,AAPL,"Apple exports iPhones worth Rs 20,000 cr in March, Rs 1.5 lakh cr in FY25 ahead of US tariffs","07 Apr, 2025, 06.19 PM IST"
The Economic Times,AAPL,Zepto controversy: Bengaluru entrepreneur claims huge price difference for Android vs iPhone users. Netizens demand answer,"28 Jan, 2025, 12.02 AM IST"
The Economic Times,AAPL,"Apple blocks Tinder owner, startups from commercial secrets in India antitrust case","12 Mar, 2025, 04.37 PM IST"
The Economic Times,AAPL,QSRs go quick; Apple grows India suppliers,"19 Mar, 2025, 07.21 AM IST"
The Economic Times,AAPL,"China reassures Apple, Pfizer, Cargill, others of business potential","24 Mar, 2025, 07.57 AM IST"
The Economic Times,AAPL,EU prepares major penalties against Elon Musk's X,"05 Apr, 2025, 07.17 AM IST"
The Economic Times,AAPL,Nancy Pelosi’s fortune nosedives in just 72 hours as Donald Trump’s tariffs send shock through markets and lawmakers' wealth rankings; here's how much money she lost,"04 Apr, 2025, 10.14 PM IST"
The Economic Times,AAPL,Discover the Power of Apple - Celebrity Secrets to Boosting Immunity,"17 Mar, 2025, 12.34 PM IST"
The Economic Times,AAPL,"Made-in-India smartphone shipments rose 6% in 2024: Apple, Samsung drove 94% of exports | Report","21 Mar, 2025, 03.13 PM IST"
The Economic Times,AAPL,Apple launches 'Surveyor' app for improved mapping accuracy,"15 Mar, 2025, 12.31 PM IST"
The Economic Times,AAPL,Trump tariff war may put India in the race for smartphone jobs,"04 Apr, 2025, 04.16 PM IST"
The Economic Times,AAPL,Apple’s ‘Make in India’ dream meets tariff reality in Trump’s trade salvo,"04 Apr, 2025, 04.49 PM IST"
The Economic Times,AAPL,India’s tariff silver lining; Krutrim’s hiring push,"04 Apr, 2025, 07.18 AM IST"
The Economic Times,AAPL,US tariffs: Donald Trump takes the world for a ride,"04 Apr, 2025, 12.13 AM IST"
The Economic Times,AAPL,"Apple readies for biggest software overhaul in history—A new interface for iPhone, iPad & Mac coming soon","11 Mar, 2025, 08.47 AM IST"
The Economic Times,AAPL,Indonesia issues telco permits for five Apple iPhone 16 models,"14 Mar, 2025, 11.33 AM IST"
The Economic Times,AAPL,"US tech, retail stocks lead rout after Trump's tariff blow; Apple shares down 9%, Amazon 7%","03 Apr, 2025, 07.26 PM IST"
The Economic Times,AAPL,Amazon Back to School Sale - Up to 80% off on School & College Essentials,"03 Apr, 2025, 07.09 PM IST"
The Economic Times,AAPL,Apple is opting for this strategy to market iPhones and other products in 2025,"11 Mar, 2025, 12.49 AM IST"
The Economic Times,AAPL,iPhone users rejoice: Apple secretly rolls out new feature that could revolutionize the experience for over 300 million users; here’s what you need to know,"14 Mar, 2025, 01.13 AM IST"
The Economic Times,AAPL,Reciprocal Tariffs may lead to slump in global GDP; what happens to Apple exports from India? Swaminathan Aiyar explains,"03 Apr, 2025, 11.40 AM IST"
The Economic Times,AAPL,MAMI announces 2nd edition of Filmed on iPhone Category. How to apply and what’s in store?,"06 Jan, 2025, 04.30 PM IST"
The Economic Times,AAPL,Two Sharp with ET: Trump’s tariff may hit five export sectors; D St on edge ahead of Liberation Day,"02 Apr, 2025, 07.33 PM IST"
The Economic Times,AAPL,What Does the ‘i’ in iPhone stand for? The answer might surprise you,"26 Dec, 2024, 11.03 PM IST"
The Economic Times,AAPL,Differently abled beggar buys iPhone worth Rs 1.4 lakh! Video goes viral,"19 Jan, 2025, 05.48 PM IST"
The Economic Times,AAPL,Visa bids $100 million to replace Mastercard as Apple's new credit card partner: report,"02 Apr, 2025, 08.40 AM IST"
The Economic Times,AAPL,Apple announces $99 million new clean energy fund in China,"24 Mar, 2025, 12.28 PM IST"
The Economic Times,AAPL,"Apple reportedly considered iPhone 17 not having charging port, here's is what we know","18 Mar, 2025, 08.01 AM IST"
The Economic Times,AAPL,You could be owed cash! Americans can claim their share of $2.5 million overdraft settlement; no proof needed to score a windfall,"17 Mar, 2025, 11.27 PM IST"
The Economic Times,AAPL,Apple launches new iPad Air with AI features to stoke demand,"04 Mar, 2025, 08.53 PM IST"
The Economic Times,AAPL,Give your iPhone battery a boost: 3 settings you need to change,"17 Jan, 2025, 06.20 PM IST"
The Economic Times,AAPL,Apple to roll out Apple Intelligence in more languages with iOS 18.4 update,"24 Feb, 2025, 12.37 PM IST"
The Economic Times,AAPL,Apple’s blue bubble chat to pop up on Indian android phones,"17 Mar, 2025, 09.22 AM IST"
The Economic Times,AAPL,"Apple MacBook Air M4 launched. Price, features, key specifications are here","06 Mar, 2025, 08.35 AM IST"
The Economic Times,AAPL,"Apple, Meta likely to face modest fines over DMA breaches, sources say","11 Mar, 2025, 01.20 AM IST"
The Economic Times,AAPL,Apple preparing for a major software overhaul: Report,"11 Mar, 2025, 01.11 AM IST"
The Economic Times,AAPL,"Elon Musk’s patriotic musketeers stand behind DOGE, declaring their skills are just what America needs right now","31 Mar, 2025, 11.06 PM IST"
The Economic Times,AAPL,"Apple gets local content certificates in Indonesia, still needs more permits","07 Mar, 2025, 02.12 PM IST"
The Economic Times,AAPL,Crypto traders on taxmen radar; Spinny fuels up,"31 Mar, 2025, 07.40 PM IST"
The Economic Times,AAPL,Tim Cook teases ‘Something in the Air’—Is Apple about to unveil the MacBook Air M4 or a New iPad Air?,"03 Mar, 2025, 11.53 PM IST"
The Economic Times,AAPL,Apple to begin airpods production for exports at Foxconn's Hyderabad plant from April,"16 Mar, 2025, 05.49 PM IST"
The Economic Times,AAPL,The tech fantasy that powers AI is running on fumes,"31 Mar, 2025, 03.48 PM IST"
The Economic Times,AAPL,India may redraw PLI playbook with 360-degree approach for champion sectors,"31 Mar, 2025, 12.29 PM IST"
The Economic Times,AAPL,Apple defeats AliveCor bid to block US smartwatch imports in US appeal,"09 Mar, 2025, 06.09 PM IST"
The Economic Times,AAPL,Apple preparing for a major software overhaul: report,"11 Mar, 2025, 08.49 AM IST"
The Economic Times,AAPL,Did Warren Buffett see the US market crash coming? His $325 billion cash move suggests so,"14 Mar, 2025, 01.51 PM IST"
The Economic Times,AAPL,Apple’s iPhone 16e is outselling iPhone SE but won’t reverse China slide,"14 Mar, 2025, 11.38 AM IST"
The Economic Times,AAPL,Indonesia issues telecommunications permit for some of Apple's iPhone 16 series,"14 Mar, 2025, 01.22 PM IST"
The Economic Times,AAPL,Is Apple launching new MacBook Air this week? CEO Tim Cook teased a potential new product; here's what reports are saying,"04 Mar, 2025, 09.55 PM IST"
The Economic Times,AAPL,Apple says some AI improvements to Siri delayed to 2026,"07 Mar, 2025, 11.12 PM IST"
The Economic Times,AAPL,Tim Cook teases new Apple product with ‘There’s something in the Air’ video,"04 Mar, 2025, 11.14 AM IST"
The Economic Times,AAPL,5 tech failures in 2024 - From underwhelming to disappointing,"27 Dec, 2024, 05.00 PM IST"
The Economic Times,AAPL,"Tit-for-tat tariffs looming, EU mulls concessions for US","29 Mar, 2025, 12.27 AM IST"
The Economic Times,AAPL,"Apple defeats US consumer lawsuit over iCloud storage, for now","04 Mar, 2025, 12.29 AM IST"
The Economic Times,AAPL,Who are King Charles's favourite musicians? Here are the names that feature in his playlist,"13 Mar, 2025, 01.41 AM IST"
The Economic Times,AAPL,"Apple's India playbook: Discounts, growing ecosystem and a surge in sales","01 Mar, 2025, 08.16 AM IST"
The Economic Times,AAPL,"Days after gathering at Beijing Forum, top executives to meet Xi Jinping","28 Mar, 2025, 12.08 AM IST"
The Economic Times,AAPL,7 Fruits to Stay Active All Day Like Celebrities!,"27 Mar, 2025, 02.18 PM IST"
The Economic Times,AAPL,"Apple iPhone 17 Series Coming in September? Check expected launch date, price, camera feature, specs","26 Mar, 2025, 10.55 AM IST"
The Economic Times,AAPL,Alibaba teams up with BMW to develop AI for cars in China,"26 Mar, 2025, 10.25 AM IST"
The Economic Times,AAPL,India is now shipping Apple components to China & Vietnam. Thanks to 'Make in India',"28 Feb, 2025, 09.16 AM IST"
The Economic Times,AAPL,Schneider Electric to invest over $700 million in US to power AI boom,"25 Mar, 2025, 07.48 PM IST"
The Economic Times,AAPL,Apple’s next iPhone might be its most radical yet with a never-seen-before design; here's what we know,"27 Feb, 2025, 07.48 PM IST"
The Economic Times,AAPL,"PCI’s MDR plea; India’s AI startups, accelerated","25 Mar, 2025, 07.24 AM IST"
The Economic Times,AAPL,Tariff Worries: US earnings outlook for first quarter looks less rosy,"25 Mar, 2025, 01.01 AM IST"
The Economic Times,AAPL,"Severance Season 2: Episode 9 release date, time, where to watch and release schedule","09 Mar, 2025, 12.52 AM IST"
The Economic Times,AAPL,"10 best-selling tablets in India from top brands like Apple, Samsung, Lenovo and more","24 Mar, 2025, 11.22 PM IST"
The Economic Times,AAPL,"Airtel partners with Apple to offer exclusive streaming, music services to its wi-fi, postpaid customers","24 Feb, 2025, 11.50 AM IST"
The Economic Times,AAPL,Apple shareholders vote to keep its diversity policies,"26 Feb, 2025, 09.49 AM IST"
The Economic Times,AAPL,P2P lending slumps; HCL-Foxconn’s new hunt,"24 Mar, 2025, 07.25 AM IST"
The Economic Times,AAPL,Donald Trump compares UK's demand for Apple user data to Chinese monitoring,"01 Mar, 2025, 08.32 AM IST"
The Economic Times,AAPL,Stumbling stock market raises specter of Dot-Com era reckoning,"23 Mar, 2025, 07.14 PM IST"
The Economic Times,AAPL,Apple step closer to seeing end of Indonesia iPhone sales ban,"07 Mar, 2025, 11.19 AM IST"
The Economic Times,AAPL,The entire iPhone 17 lineup could feature 120Hz refresh rate displays,"31 Dec, 2024, 02.33 PM IST"
The Economic Times,AAPL,"Twitter bird sign sells for nearly $35,000 at auction","22 Mar, 2025, 08.24 AM IST"
The Economic Times,AAPL,Severance Season 3: Is Apple TV+ show renewed? All you may want to know,"21 Mar, 2025, 06.41 PM IST"
The Economic Times,AAPL,Johnson and Johnson plans USD 55 billion in US investments over next four years,"21 Mar, 2025, 06.33 PM IST"
The Economic Times,AAPL,"Stick: Apple TV+ golf comedy show’s release date, episode schedule, where to watch, cast and plot","05 Mar, 2025, 01.43 AM IST"
The Economic Times,AAPL,Severance season 2 ends with a major twist – here's the latest on season 3,"21 Mar, 2025, 11.57 AM IST"
The Economic Times,AAPL,India's $23 billion plan to rival China factories to lapse after it disappoints,"24 Mar, 2025, 10.25 AM IST"
The Economic Times,AAPL,Apple’s $500bn US bet: Decoding iPhone maker's billion-dollar pledge and Trump ties,"25 Feb, 2025, 10.30 PM IST"
The Economic Times,AAPL,Apple a bright spot in weak Jan smartphone market,"06 Mar, 2025, 12.57 AM IST"
The Economic Times,AAPL,"Dope Thief: Apple TV+ show’s trailer, plot, release date, episode schedule, cast and crew","21 Feb, 2025, 08.41 PM IST"
The Economic Times,AAPL,Apple shareholders to consider scrapping diversity programs amid backlash,"25 Feb, 2025, 11.39 AM IST"
The Economic Times,AAPL,"Severance Season 2: Episode 8 release date, time and upcoming release schedule","04 Mar, 2025, 01.10 AM IST"
The Economic Times,AAPL,Apple’s big move amid Trump's China tariffs; iPhone maker announces $500 bn investment in US in 4 yrs,"25 Feb, 2025, 01.01 AM IST"
The Economic Times,AAPL,"Apple announces $500-billion investment in US manufacturing: AI factory, 20,000 jobs planned","25 Feb, 2025, 01.08 AM IST"
The Economic Times,AAPL,"Apple plans Texas factory for AI servers, 20,000 research jobs","24 Feb, 2025, 04.45 PM IST"
The Economic Times,AAPL,"Severance Season 2: What will happen in the finale? Here’s Episode 10 release date, time and where to watch","19 Mar, 2025, 08.30 PM IST"
The Economic Times,AAPL,India looks to shift sourcing of synthetic fibre & apples to US in effort to narrow trade surplus,"19 Mar, 2025, 12.48 AM IST"
The Economic Times,AAPL,"Best camera phone to capture the Christmas magic: Check models, specifications, prices","25 Dec, 2024, 01.55 AM IST"
The Economic Times,AAPL,"Zepto to deliver Apple products, emulating quick commerce rivals Instamart, Blinkit and BigBasket","18 Mar, 2025, 01.52 PM IST"
The Economic Times,AAPL,"Maha Kumbh 2025: Apple heiress Lauren Powell, one of world's wealthiest women, to observe Kalpavas. What is the ritual?","08 Jan, 2025, 09.48 AM IST"
The Economic Times,AAPL,What did India download on their iPhone? Most downloaded apps and games revealed,"23 Dec, 2024, 02.10 PM IST"
The Economic Times,AAPL,Ted Lasso Season 4: Everything we know about Apple TV+ show’s renewal,"17 Mar, 2025, 08.51 PM IST"
The Economic Times,AAPL,Intel's new CEO plots overhaul of manufacturing and AI operations,"17 Mar, 2025, 03.51 PM IST"
The Economic Times,AAPL,"Apple TV Plus expands reach, now available on android devices – What you need to know","13 Feb, 2025, 07.45 PM IST"
The Economic Times,AAPL,Apple launches 'age assurance' tech as US states mull social media laws,"28 Feb, 2025, 08.34 AM IST"
The Economic Times,AAPL,Big tech stocks at cheapest in months,"17 Mar, 2025, 05.42 AM IST"
The Economic Times,AAPL,Apple Intelligence: Why you might want to disable it on iOS and macOS — How to do it,"14 Feb, 2025, 07.56 PM IST"
The Economic Times,AAPL,"Blinkit to deliver Macbook, iPads in 10 minutes","27 Feb, 2025, 06.37 PM IST"
The Economic Times,AAPL,iOS 18.4 to arrive in April: What new Siri improvements and Apple intelligence features can iPhone users expect?,"20 Feb, 2025, 07.08 PM IST"
The Economic Times,AAPL,"Apple's big warning to billions across the globe: Update iPhones and iPads, or else cyber crooks can take control of devices","12 Feb, 2025, 07.08 PM IST"
The Economic Times,AAPL,Alibaba won’t solve all of Apple’s China problems,"14 Feb, 2025, 10.03 AM IST"
The Economic Times,AAPL,India powers Apple supply; Zerodha’s trading slump,"28 Feb, 2025, 07.58 PM IST"
The Economic Times,AAPL,Fitness freaks discover mind-blowing Apple Watch hack; are you using yours the right way?,"14 Feb, 2025, 01.55 AM IST"
The Economic Times,AAPL,Malaika Arora and Madhuri Dixit's doctor husband: What is the ABCG juice link?,"20 Dec, 2024, 05.37 PM IST"
The Economic Times,AAPL,"Apple reveals first custom modem chip, shifting away from Qualcomm","19 Feb, 2025, 09.55 PM IST"
The Economic Times,AAPL,iPhone 17 leak: Apple set to borrow bold design from rival; here's what a tipster has revealed,"26 Feb, 2025, 09.55 PM IST"
The Economic Times,AAPL,"Apple Event Today: Is the iPhone SE 4 finally here? Launch time, features, price, and everything to expect","19 Feb, 2025, 09.19 PM IST"
The Economic Times,AAPL,Apple to launch new lower-cost iPhone to capture a broader market,"19 Feb, 2025, 08.42 PM IST"
The Economic Times,AAPL,Boat reboots IPO; Insurtechs & healthcare,"26 Feb, 2025, 07.41 PM IST"
The Economic Times,AAPL,How to capture screenshots on Mac: 4 simple tips and tricks for Apple users,"10 Mar, 2025, 10.57 PM IST"
The Economic Times,AAPL,Trump’s tariffs threat tests EU resolve to hurt Apple and Meta,"26 Feb, 2025, 03.35 PM IST"
The Economic Times,AAPL,Apple faces likely French antitrust fine for privacy tool,"27 Feb, 2025, 07.49 PM IST"
The Economic Times,AAPL,Apple fixes iPhone dictation bug that transcribed 'racist' as 'Trump',"26 Feb, 2025, 10.14 AM IST"
The Economic Times,AAPL,iPhone SE 4 survey: Price emerges as top factor for Americans ahead of Apple’s budget phone launch,"19 Feb, 2025, 01.30 AM IST"
The Economic Times,AAPL,Indonesia and Apple said to agree on terms to lift iPhone 16 ban,"25 Feb, 2025, 11.58 AM IST"
The Economic Times,AAPL,UK orders Apple to give it access to users' encrypted accounts: Reports,"07 Feb, 2025, 01.41 PM IST"
The Economic Times,AAPL,"Apple asked to provide backdoor access to encrypted iCloud backups, claims report","07 Feb, 2025, 11.29 PM IST"
The Economic Times,AAPL,Google’s ‘Super G’ and Apple’s ‘shot on iPhone’: Sundar Pichai & Tim Cook bring Holi colours to social media,"14 Mar, 2025, 01.34 PM IST"
The Economic Times,AAPL,"Apple exploring humanoid and AI-powered robots to revolutionise smart homes, says analyst","13 Feb, 2025, 11.22 PM IST"
The Economic Times,META,Mark Zuckerberg repeats Trump visits in bid to settle antitrust case,"04 Apr, 2025, 02.03 PM IST"
The Economic Times,META,How to manage business chats on WhatsApp,"03 Apr, 2025, 07.50 PM IST"
The Economic Times,META,US senators probe Mark Zuckerberg over alleged China censorship push,"02 Apr, 2025, 09.43 PM IST"
The Economic Times,META,‘Friends’ tab will now show only posts from your connections: Meta,"30 Mar, 2025, 03.51 PM IST"
The Economic Times,META,Nvidia CEO says company has not been asked to buy a stake in Intel,"20 Mar, 2025, 08.53 AM IST"
The Economic Times,META,Meta’s Asia-Pacific chief quits after a decade-long growth spurt,"28 Mar, 2025, 04.52 PM IST"
The Economic Times,META,EU court adviser backs WhatsApp in fight against EU privacy watchdog,"27 Mar, 2025, 04.33 PM IST"
The Economic Times,META,"Brazil holds off big tech tax amid Trump tariff talks, say sources","26 Mar, 2025, 04.59 PM IST"
The Economic Times,META,Google defeats part of US shareholder class action over digital ads,"26 Mar, 2025, 07.05 AM IST"
The Economic Times,META,"Meta to start testing crowd-sourced fact checking, based on Musk's X example, next week","13 Mar, 2025, 06.11 PM IST"
The Economic Times,META,"'If an Indian company started an Instagram or WhatsApp rival, I'd be impressed by the bravery of it': Perplexity CEO","25 Mar, 2025, 10.10 PM IST"
The Economic Times,META,"Meta's Instagram outage in US nearly resolved as reports drop, Downdetector shows","21 Mar, 2025, 07.50 AM IST"
The Economic Times,META,Stumbling stock market raises specter of Dot-Com era reckoning,"23 Mar, 2025, 07.14 PM IST"
The Economic Times,META,Meta seeks to block further sales of ex-employee's scathing memoir,"13 Mar, 2025, 08.09 AM IST"
The Economic Times,META,"WhatsApp monitors fraudulent activities, scams; bans 9.96 million Indian accounts","21 Mar, 2025, 10.14 PM IST"
The Economic Times,META,Trump's call for AI deregulation gets strong backing from Big Tech,"21 Mar, 2025, 12.46 PM IST"
